tour_id,tour,opponent,host_country,season,start_date,end_date,matches,formats,innings,runs,hs,avg,strike_rate,fours,sixes,away
India in New Zealand 2019 — v New Zealand|New Zealand,India in New Zealand 2019 — v New Zealand,New Zealand,New Zealand,2019,2019-01-23,2019-01-28,3,ODI,3,148,60,49.33,83.15,14,1,yes
v Australia in India 2019|Australia,v Australia in India 2019,Australia,India,2019,2019-02-24,2019-03-13,7,ODI+T20I,7,406,123,67.67,118.37,40,8,no
Tournament in England 2019|South Africa,Tournament in England 2019,South Africa,England,2019,2019-06-05,2019-06-05,1,ODI,1,18,18,18,52.94,1,0,yes
Tournament in England 2019|Australia,Tournament in England 2019,Australia,England,2019,2019-06-09,2019-06-09,1,ODI,1,82,82,82,106.49,4,2,yes
Tournament in England 2019|Pakistan,Tournament in England 2019,Pakistan,England,2019,2019-06-16,2019-06-16,1,ODI,1,77,77,77,118.46,7,0,yes
Tournament in England 2019|Afghanistan,Tournament in England 2019,Afghanistan,England,2019,2019-06-22,2019-06-22,1,ODI,1,67,67,67,106.35,5,0,yes
Tournament in England 2019|West Indies,Tournament in England 2019,West Indies,England,2019,2019-06-27,2019-06-27,1,ODI,1,72,72,72,87.8,8,0,yes
India in England 2019 — v England|England,India in England 2019 — v England,England,England,2019,2019-06-30,2019-06-30,1,ODI,1,66,66,66,86.84,7,0,yes
Tournament in England 2019|Bangladesh,Tournament in England 2019,Bangladesh,England,2019,2019-07-02,2019-07-02,1,ODI,1,26,26,26,96.3,3,0,yes
Tournament in England 2019|Sri Lanka,Tournament in England 2019,Sri Lanka,England,2019,2019-07-06,2019-07-06,1,ODI,1,34,34*,-,82.93,3,0,yes
Tournament in England 2019|New Zealand,Tournament in England 2019,New Zealand,England,2019,2019-07-09,2019-07-09,1,ODI,1,1,1,1,16.67,0,0,yes
Tournament in USA 2019|West Indies,Tournament in USA 2019,West Indies,USA,2019,2019-08-03,2019-08-04,2,T20I,2,47,28,23.5,90.38,2,1,yes
India in West Indies 2019 — v West Indies|West Indies,India in West Indies 2019 — v West Indies,West Indies,West Indies,2019,2019-08-06,2019-08-30,5,Test+ODI+T20I,7,429,120,71.5,76.88,48,1,yes
v South Africa in India 2019|South Africa,v South Africa in India 2019,South Africa,India,2019,2019-09-18,2019-10-19,5,Test+T20I,6,398,254*,132.67,81.22,46,6,no
v Bangladesh in India 2019|Bangladesh,v Bangladesh in India 2019,Bangladesh,India,2019,2019-11-14,2019-11-22,2,Test,2,136,136,68,69.39,18,0,no
v West Indies in India 2019|West Indies,v West Indies in India 2019,West Indies,India,2019,2019-12-06,2019-12-22,6,ODI+T20I,6,272,94*,68,149.45,22,13,no
